id;Title_1;Content_1;Title_2;Content_2;Label
0;providerfastly Make requestcondition optional;"Makes the requestcondition setting optional for Fastly requestsettings as seen here

This also updates the relevant documentation.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";providerfastly Changes setting conditionals to optional;Allows the user to create both requestsettings and chachesettings with no conditional set. Conditionals were previously required but this limits options that Fastly allows as shown here    Website documentation updated  Closes;1
1;add validatecredentials option to provideraws;"My dev team is planning to use Terraform to manage our AWS resources in all of our environments Dev Test and Prod.
We develop locally fakesqs and DynamoDB Local and do not have access to AWS credentials. We'd like to use Terraform to stand up tables against DynamoDB Local or any other local AWS service.
I added a validatecredentials option to the provideraws Schema. It defaults to true. When set to false the credentials are not validated at all against IAM or the white black list of account ids.
Since DynamoDB Local does not check the validity of the credentials we can create tables against it.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Skip IAMSTS validation and metadata check;"Skip IAMSTS validation and metadata check   Skip IAMSTS identity validation For environments or other api implementations where there are no IAMSTS endpoints available this option lets you opt out from that provider initialization step. Skip metdata api check For environments in which you know ahead of time there isn't going to be a metadta api endpoint this option lets you opt out from that check to save time. Sample provider config provider aws   region useast skipiamcredsvalidation true skipiamaccountid true  skipmetadataapicheck true
";1
2;Update environments.html.md;"kind of confusing example right below is different than quoted command.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Documentation Update Fix a code sample that uses incorrect syntax.;"Reasoning for docs update
terraform env create is not the correct syntax and its usage results in an error.
Relevant Terraform version
I found this error when using the released.. and it appears in the master branch.";1
3;Remove redundant const from command package;"Replace usages of DefaultDataDir with the equivalent DefaultDataDirectory
Remove now unused DefaultDataDir const";command Remove second DefaultDataDirectory const;No description provided.;1
4;provideraws Fixing IAM data source policy generation to prevent spurious diffs;"Just resubmitting this as a new PR this was submitted in .
As mentioned there there are a number of things AWS likes to do with a policy namely resource policies versus IAM ones that cause spurious diffs in Terraform even though nothing has changed ie sorting arrays inserting an empty Sid attribute and converting singleelement lists to a string value.
Having the data source affords us the opportunity to ensure that these problems do not persist as we can now tweak the policy generation in one place.
Again an example of the issue in action
httpsgist.github.comvanclueverecdebfbf
The changes in this commit fixes things to allow a policy generated via the awsiampolicydocument data source to properly pass a TF planapply without any changes when nothing has indeed changed.
References for this I list a few here however if you search in the issue backlog there are more
";provideraws Normalize IAM policy documents;"Fixes and fixes .
Two normalizations are applied

Arrays of length become single strings because this is how they are returned from AWS APIs.
Arrays of length more than are sorted because AWS stores them as sets and returns them in random order.";1
5;provideraws Skip importing routes for VPC endpoints;"Same logic as in resourceAwsRouteTableRead
Fixes";provideraws Fix import of RouteTable with destination prefixes;"Route Tables can get routes that do not have a DestinationCidrBlock by way of awsvpcendpoint. These Routes are ignored in reading awsroutetable and so we should ignore them here as well.
Fixes adds test";1
6;provideraws Allow ELB name to be generated;"Since ELB has a hard limit of characters it may be sometimes hard to come up with a unique name so user may end up just using tags for human labels but the name still need to be filled in with something unique although useless for humans.
This PR is adding new helper indirectly related to and makes elb name optional i.e. generated as tflbUNIQUEID.
I can add an acceptance test case for ELB wout a name but first I want to get general feedback on this idea.";Allow AWS ELB resource name to be computed;"To allow ease use with createbeforedestroy
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
7;provideraws Lb cookie stickiness;"This is based off and incorporates the feedback from radeksimko. Decided to open a PR for this because the issue has been inactive since Sept th
cc radeksimko
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";provideraws Fix issue with LB Cookie Stickiness and empty expiration period;"cookieexpirationperiod is optional for the awslbcookiestickinesspolicy resource however we were sending the default value if nothing was in the configuration which is invalid.
The change in resourceawslbcookiestickinesspolicytest confirms the bugfix
Fixes 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
8;command Add flag for updating modules on init.;"Add a flag updatemodules to enable updating modules as part of a terraform init and supporting test case.
The justification behind this is to enable the use of terraform init as part of a Jenkins CI pipeline whereby we are running a terraform init on every build. Currently after the modules are initially downloaded they'll never be updated unless either

The workspace is cleared
or
A terraform get update is run

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Add update flag to init command;"Add the update flag to the init command so modules can be updated if necessary without the need to use terraform get
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
9;Fix ECS field inconsistency;"ECS has some inconsistency in the way it sends down
field names and the way it expects them in the api.
MEMORY and CPU are expected capitalized and instanceId should be sent as
is.
The previous fixed lowercased everything meaning instanceId is being
saved as instanceid and causing a change in the resource.
PRs and issues





 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Fix AWS ECS placement strategy spread fields;"Resubmitting PR based on master
Fix for .
AWS API requires ECS placement strategies field attribute to be
memory or cpu lowercase when typebin but these read back as
MEMORY and CPU uppercase respectively.
PR which fixed separately reported deals with this by
always lowering the case of the resource received from the API but this
breaks for other field values e.g. instanceId instanceid.
This PR only lowers the case of the returned resource when field
MEMORY or CPU. Haven't checked if any other fields need this
treatment.";1
