providerfastly Make requestcondition optional;Makes the requestcondition setting optional for Fastly requestsettings as seen hereThis also updates the relevant documentation.       The text was updated successfully but these errors were encountered
add validatecredentials option to provideraws;My dev team is planning to use Terraform to manage our AWS resources in all of our environments Dev Test and Prod.We develop locally fakesqs and DynamoDB Local and do not have access to AWS credentials. We'd like to use Terraform to stand up tables against DynamoDB Local or any other local AWS service.I added a validatecredentials option to the provideraws Schema. It defaults to true. When set to false the credentials are not validated at all against IAM or the white black list of account ids.Since DynamoDB Local does not check the validity of the credentials we can create tables against it.       The text was updated successfully but these errors were encountered
Update environments.html.md;kind of confusing example right below is different than quoted command.       The text was updated successfully but these errors were encountered
Remove redundant const from command package;Replace usages of DefaultDataDir with the equivalent DefaultDataDirectoryRemove now unused DefaultDataDir const
provideraws Fixing IAM data source policy generation to prevent spurious diffs;Just resubmitting this as a new PR this was submitted in .As mentioned there there are a number of things AWS likes to do with a policy namely resource policies versus IAM ones that cause spurious diffs in Terraform even though nothing has changed ie sorting arrays inserting an empty Sid attribute and converting singleelement lists to a string value.Having the data source affords us the opportunity to ensure that these problems do not persist as we can now tweak the policy generation in one place.Again an example of the issue in actionhttpsgist.github.comvanclueverecdebfbfThe changes in this commit fixes things to allow a policy generated via the awsiampolicydocument data source to properly pass a TF planapply without any changes when nothing has indeed changed.References for this I list a few here however if you search in the issue backlog there are moreS SNS S discussing ordering ElasticSearch My original PR
provideraws Skip importing routes for VPC endpoints;Same logic as in resourceAwsRouteTableReadFixes
provideraws Allow ELB name to be generated;Since ELB has a hard limit of characters it may be sometimes hard to come up with a unique name so user may end up just using tags for human labels but the name still need to be filled in with something unique although useless for humans.This PR is adding new helper indirectly related to and makes elb name optional i.e. generated as tflbUNIQUEID.I can add an acceptance test case for ELB wout a name but first I want to get general feedback on this idea.
provideraws Lb cookie stickiness;This is based off and incorporates the feedback from radeksimko. Decided to open a PR for this because the issue has been inactive since Sept thcc radeksimko       The text was updated successfully but these errors were encountered
command Add flag for updating modules on init.;Add a flag updatemodules to enable updating modules as part of a terraform init and supporting test case.The justification behind this is to enable the use of terraform init as part of a Jenkins CI pipeline whereby we are running a terraform init on every build. Currently after the modules are initially downloaded they'll never be updated unless eitherThe workspace is clearedorA terraform get update is run       The text was updated successfully but these errors were encountered
Fix ECS field inconsistency;ECS has some inconsistency in the way it sends downfield names and the way it expects them in the api.MEMORY and CPU are expected capitalized and instanceId should be sent asis.The previous fixed lowercased everything meaning instanceId is beingsaved as instanceid and causing a change in the resource.PRs and issues       The text was updated successfully but these errors were encountered
Make the device name for attached disks equal to the disk name making provisioning disks easier;No description provided.
Add support for SNS topics;Chips away at . This would have been the simplest thing in the world to do were it not for one uh feature of the SNS API. There is no way to describe or filter for an individual topic.Instead you have to page results back from a complete topic list and unlike autoscaling groups whose paging limit is something like the paging limit for SNS topics is . I didn't feel right not supporting result paging here it's entirely possible a TF user could have more than SNS topics if they really love the product so I wrote a pager.The file is snstopicseeker.go and implements a basic state machine whose design will look mighty familiar if you've ever seen this presentation by Rob Pike or read the source code to texttemplateparselex.go in the stdlib. It's basically a slimmed down implementation of the same pattern and I've covered it with a bunch of unit tests to make sure it works and works well.For what it's worth I think it could be abstracted to an interface and used to page anything in AWS that returns a NextToken but I didn't want to build a generalized version if this is the only AWS resource that'll use it.Anyway let me know if there are any problems here. I'm going to add SNS topic support to AS groups too per but that file's a bit complex and I didn't feel like biting it off quite yet. I need it though so I'll try to finish it off later this week.
